,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
4069,2022-05-22,2,1000.0,2 out of 5,super area,unknown place,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Agent,16000,2.0,1,medium,0.2605633802816901,0.37615404850709455
4072,2022-07-06,1,450.0,1 out of 3,super area,madhapur,hyderabad,Unfurnished,family,1.0,Contact Agent,15000,1.0,1,small,0.24295774647887328,-0.9080182055486311
4073,2022-05-06,3,1540.0,2 out of 5,super area,attapur,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,14000,2.0,0,large,0.22535211267605634,1.6369777161254433
4076,2022-05-31,2,2100.0,1 out of 3,carpet area,"uppal, nh 2 2",hyderabad,Furnished,bachelors/family,3.0,Contact Owner,1200,1.0,1,large,0.0,2.9444985566185458
4077,2022-07-08,2,550.0,,carpet area,ram nagar,hyderabad,Unfurnished,bachelors,1.0,Contact Owner,8000,-1.0,1,medium,0.11971830985915494,-0.6745323411748628
4078,2022-05-18,3,1600.0,1 out of 5,super area,"miyapur, nh 9",hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,15000,1.0,0,large,0.24295774647887328,1.7770692347497044
4080,2022-06-18,2,500.0,1 out of 2,super area,"saidabad colony, sayeedabad",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,small,0.19014084507042256,-0.791275273361747
4081,2022-06-17,3,1300.0,Ground out of 5,carpet area,"manikonda, outer ring road",hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,25000,0.0,0,large,0.41901408450704225,1.0766116416283995
4082,2022-06-25,2,600.0,1 out of 3,super area,ramchandrapuram mandal,hyderabad,Unfurnished,bachelors/family,1.0,Contact Agent,13000,1.0,1,medium,0.20774647887323944,-0.5577894089879787
4083,2022-06-25,3,1565.0,1 out of 6,super area,"kmr estates, serilingampally",hyderabad,Furnished,bachelors/family,3.0,Contact Owner,35000,1.0,0,large,0.5950704225352114,1.6953491822188855
4084,2022-07-06,1,350.0,2 out of 4,super area,langar houz,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,6500,2.0,1,small,0.09330985915492958,-1.1415040699223995
4085,2022-06-03,2,1100.0,1 out of 4,super area,"padmanabha nagar, mehdipatnam",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,11000,1.0,1,medium,0.17253521126760565,0.6096399128808628
4086,2022-05-12,2,1200.0,1 out of 6,super area,vijay nagar colony m,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,25000,1.0,1,large,0.41901408450704225,0.8431257772546311
4089,2022-07-06,3,1400.0,,super area,toli chowki,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,18000,-1.0,0,large,0.295774647887324,1.3100975060021678
4090,2022-05-06,2,1950.0,5 out of 6,super area,sainikpuri,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,20000,5.0,1,large,0.33098591549295775,2.5942697600578932
4091,2022-05-16,2,130.0,1 out of 1,carpet area,rampally,mumbai,Unfurnished,bachelors/family,2.0,Contact Owner,8500,1.0,1,small,0.12852112676056338,-1.6551729715446897
4092,2022-06-24,2,1300.0,Ground out of 2,super area,bandlaguda jagir,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,14000,0.0,1,large,0.22535211267605634,1.0766116416283995
4094,2022-07-06,2,1135.0,3 out of 5,super area,suchitra circle,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,3.0,1,large,0.2605633802816901,0.6913599654116818
4095,2022-05-12,3,1800.0,3 out of 4,carpet area,"banjara hills, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,20000,3.0,0,large,0.33098591549295775,2.244040963497241
4096,2022-06-14,3,1400.0,1 out of 5,carpet area,attapur,hyderabad,Furnished,bachelors/family,3.0,Contact Owner,18000,1.0,0,large,0.295774647887324,1.3100975060021678
4098,2022-05-12,2,950.0,Ground out of 4,super area,"bolarum, medchal road",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,0.2594111163202104
4099,2022-05-12,2,650.0,1 out of 2,super area,begumpet,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,-0.44104647680109454
4100,2022-06-24,1,100.0,3 out of 3,carpet area,in 1-71/1/a,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,5300,3.0,1,small,0.0721830985915493,-1.7252187308568203
4101,2022-05-25,2,950.0,2 out of 3,carpet area,ida uppal,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,11000,2.0,1,medium,0.17253521126760565,0.2594111163202104
4102,2022-06-10,2,1000.0,1 out of 2,carpet area,unknown place,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.37615404850709455
4103,2022-06-06,2,900.0,3 out of 4,carpet area,gwachiwali,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,12000,3.0,1,medium,0.19014084507042256,0.14266818413332624
4104,2022-05-29,2,1800.0,7 out of 10,carpet area,trimulgherry,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,20000,7.0,1,large,0.33098591549295775,2.244040963497241
4106,2022-05-09,2,1800.0,,super area,"hyder shah kote, chevella road",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,22000,-1.0,1,large,0.3661971830985916,2.244040963497241
4107,2022-05-12,2,1000.0,,super area,hyderguda,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,0.37615404850709455
4108,2022-05-12,1,450.0,1 out of 2,super area,unknown place,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,5400,1.0,1,small,0.07394366197183098,-0.9080182055486311
4110,2022-06-29,2,1150.0,4 out of 5,carpet area,unknown place,hyderabad,Furnished,bachelors/family,2.0,Contact Owner,12000,4.0,1,large,0.19014084507042256,0.726382845067747
4112,2022-06-27,2,1050.0,2 out of 5,carpet area,attapur,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,14000,2.0,1,medium,0.22535211267605634,0.4928969806939787
4113,2022-06-08,2,1500.0,2 out of 3,carpet area,unknown place,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,2.0,1,large,0.24295774647887328,1.543583370375936
4114,2022-05-12,2,750.0,1 out of 2,super area,"ramachandra puram, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,6000,1.0,1,medium,0.08450704225352114,-0.20756061242732624
4115,2022-05-12,2,1100.0,,super area,mehdipatnam,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,14000,-1.0,1,medium,0.22535211267605634,0.6096399128808628
4116,2022-06-29,2,800.0,Ground out of 3,super area,road no 3 banjara hills hyderabad 500035,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,-0.09081768024044207
4118,2022-06-30,1,750.0,2 out of 3,super area,"bapu nagar, lakdikapul",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,6500,2.0,1,medium,0.09330985915492958,-0.20756061242732624
4120,2022-05-25,2,1080.0,,super area,"habsiguda, nh 2 2",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,0.5629427400061092
4121,2022-05-05,2,1100.0,3 out of 3,carpet area,nizampet,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12000,3.0,1,medium,0.19014084507042256,0.6096399128808628
4122,2022-05-17,3,750.0,2 out of 3,super area,alwal,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,2.0,0,medium,0.13732394366197184,-0.20756061242732624
4124,2022-04-30,2,1248.0,4 out of 5,carpet area,kothapet,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,18000,4.0,1,large,0.295774647887324,0.9551989921540399
4127,2022-07-08,2,1000.0,3 out of 5,carpet area,"madinaguda, hafeezpet, nh 9",hyderabad,Furnished,bachelors,2.0,Contact Owner,17000,3.0,1,medium,0.278169014084507,0.37615404850709455
4128,2022-05-06,2,800.0,4 out of 5,super area,old bowenpally,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,9000,4.0,1,medium,0.13732394366197184,-0.09081768024044207
4130,2022-06-22,1,500.0,,super area,"saroornagar, nh 9",hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,7500,-1.0,1,small,0.1109154929577465,-0.791275273361747
4132,2022-07-06,1,1374.0,2 out of 3,super area,trimulgherry,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,14000,2.0,1,large,0.22535211267605634,1.249391181264988
4133,2022-04-30,2,1300.0,,carpet area,unknown place,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,-1.0,1,large,0.15492957746478875,1.0766116416283995
4134,2022-05-25,2,1150.0,5 out of 6,super area,abhyudaya nagar,delhi,Furnished,bachelors/family,2.0,Contact Owner,17000,5.0,1,large,0.278169014084507,0.726382845067747
4135,2022-07-02,2,450.0,2 out of 3,carpet area,"kukatpally, nh 9",hyderabad,Semi-Furnished,bachelors,1.0,Contact Owner,6500,2.0,1,small,0.09330985915492958,-0.9080182055486311
4136,2022-05-06,2,927.0,3 out of 5,super area,bachupally,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,3.0,1,medium,0.15492957746478875,0.20570936751424368
4138,2022-07-06,2,1200.0,1 out of 3,super area,unknown place,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,large,0.24295774647887328,0.8431257772546311
4139,2022-06-22,2,1200.0,Ground out of 2,super area,patelguda,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,large,0.19014084507042256,0.8431257772546311
4141,2022-07-04,1,562.0,3 out of 4,super area,amberpet,mumbai,Unfurnished,bachelors/family,1.0,Contact Owner,6500,3.0,1,medium,0.09330985915492958,-0.6465140374500107
4142,2022-06-19,2,1500.0,1 out of 3,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,1.0,1,large,0.33098591549295775,1.543583370375936
4143,2022-05-06,3,1950.0,Ground out of 3,super area,kondapur,delhi,Semi-Furnished,bachelors,3.0,Contact Owner,25000,0.0,0,large,0.41901408450704225,2.5942697600578932
4144,2022-07-10,1,1360.0,3 out of 8,carpet area,"ghatkesar, nh 2 2",hyderabad,Unfurnished,bachelors,2.0,Contact Owner,14000,3.0,1,large,0.22535211267605634,1.2167031602526603
4145,2022-06-25,3,1800.0,1 out of 3,super area,prashanth hills,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,25000,1.0,0,large,0.41901408450704225,2.244040963497241
4146,2022-05-31,2,950.0,,super area,"kachiguda, nh 2 2",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12500,-1.0,1,medium,0.198943661971831,0.2594111163202104
4147,2022-07-05,2,780.0,3 out of 3,carpet area,sri balaji classic bhavani nagar rd no 5,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,12000,3.0,1,medium,0.19014084507042256,-0.13751485311519573
4148,2022-06-10,4,500.0,1 out of 3,carpet area,"khairatabad, nh 7",hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,10000,1.0,0,small,0.15492957746478875,-0.791275273361747
4150,2022-07-10,1,600.0,,carpet area,kondapur,hyderabad,Semi-Furnished,bachelors,1.0,Contact Agent,15500,-1.0,1,medium,0.25176056338028174,-0.5577894089879787
4153,2022-07-06,1,1900.0,4 out of 10,carpet area,gachibowli,hyderabad,Unfurnished,bachelors/family,3.0,Contact Agent,45000,4.0,1,large,0.7711267605633804,2.477526827871009
4154,2022-06-18,2,1100.0,3 out of 5,super area,"safilguda, secunderabad",hyderabad,Unfurnished,bachelors/family,5.0,Contact Owner,10500,3.0,1,medium,0.1637323943661972,0.6096399128808628
4155,2022-05-24,2,200.0,,super area,bhel,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,9000,-1.0,1,small,0.13732394366197184,-1.4917328664830518
4156,2022-05-06,3,1400.0,3 out of 5,super area,nawab saheb kunta,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,20000,3.0,0,large,0.33098591549295775,1.3100975060021678
4158,2022-05-06,1,1600.0,2 out of 5,super area,"quthbullapur, nh 7",hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,18000,2.0,1,large,0.295774647887324,1.7770692347497044
4159,2022-05-06,2,1150.0,2 out of 5,super area,nizampet,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,large,0.19014084507042256,0.726382845067747
4160,2022-05-06,2,130.0,2 out of 3,super area,"subhash nagar, secunderabad",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,small,0.19014084507042256,-1.6551729715446897
4162,2022-05-19,3,1720.0,4 out of 10,carpet area,"narsingi, outer ring road",hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,28000,4.0,0,large,0.471830985915493,2.0572522719982262
4163,2022-04-30,1,500.0,1 out of 3,super area,"hayathnagar, nh 9",hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,6000,1.0,1,small,0.08450704225352114,-0.791275273361747
4164,2022-06-14,2,1200.0,2 out of 6,super area,mehdipatnam,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12500,2.0,1,large,0.198943661971831,0.8431257772546311
4166,2022-05-25,3,800.0,3 out of 4,super area,"boduppal, nh 2 2",hyderabad,Furnished,bachelors/family,2.0,Contact Owner,7000,3.0,0,medium,0.10211267605633803,-0.09081768024044207
4167,2022-06-24,2,1300.0,4 out of 5,super area,"basheer bagh, nh 7",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,22000,4.0,1,large,0.3661971830985916,1.0766116416283995
4169,2022-06-04,2,650.0,,super area,"padmarao nagar, hyderabad-karimnagar highway",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,14000,-1.0,1,medium,0.22535211267605634,-0.44104647680109454
4170,2022-06-12,2,103.0,2 out of 4,super area,"boduppal, nh 2 2",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,9500,2.0,1,small,0.14612676056338028,-1.7182141549256071
4171,2022-04-30,1,950.0,1 out of 5,super area,unknown place,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,7000,1.0,1,medium,0.10211267605633803,0.2594111163202104
4172,2022-05-06,3,1500.0,,super area,rtc colony-chandanagar,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,15000,-1.0,0,large,0.24295774647887328,1.543583370375936
4173,2022-06-30,3,1550.0,5 out of 5,carpet area," in miyapur, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,5.0,0,large,0.24295774647887328,1.6603263025628203
4175,2022-07-06,3,1800.0,1 out of 2,super area,kanchan bagh,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,14000,1.0,0,large,0.22535211267605634,2.244040963497241
4177,2022-05-12,1,500.0,Ground out of 3,super area,vikas nagar-bandlaguda jagir,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,5500,0.0,1,small,0.07570422535211269,-0.791275273361747
4179,2022-06-12,2,800.0,1 out of 2,super area,"kukatpally, nh 9",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.09081768024044207
4180,2022-05-12,2,1300.0,2 out of 4,super area,"safilguda, secunderabad",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,large,0.15492957746478875,1.0766116416283995
4181,2022-05-12,2,600.0,,super area,"banjara hills, nh 9",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,13000,-1.0,1,medium,0.20774647887323944,-0.5577894089879787
4182,2022-06-04,3,1000.0,2 out of 6,super area,toli chowki,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,20000,2.0,0,medium,0.33098591549295775,0.37615404850709455
4183,2022-06-10,3,1000.0,1 out of 4,super area,unknown place,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,25000,1.0,0,medium,0.41901408450704225,0.37615404850709455
4184,2022-05-12,2,500.0,2 out of 3,super area,"janachaitanya colony, hyderabad expressway",hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,7500,2.0,1,small,0.1109154929577465,-0.791275273361747
4186,2022-05-01,2,1100.0,2 out of 3,carpet area,"gangaram, chandanagar, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.6096399128808628
4187,2022-07-03,2,1100.0,Ground out of 3,carpet area,"kanaka durga colony, gudimalkapur",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,9500,0.0,1,medium,0.14612676056338028,0.6096399128808628
4188,2022-05-06,2,200.0,1 out of 1,carpet area,railway employees housing colony bollarum,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,12000,1.0,1,small,0.19014084507042256,-1.4917328664830518
4191,2022-07-02,3,1350.0,,super area,saidabad,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,-1.0,0,large,0.2605633802816901,1.1933545738152835
4192,2022-07-06,2,1200.0,Ground out of 1,super area,unknown place,delhi,Unfurnished,bachelors/family,2.0,Contact Owner,12333,0.0,1,large,0.1960035211267606,0.8431257772546311
4193,2022-06-19,1,400.0,3 out of 4,carpet area,"bharat nagar, moosapet",hyderabad,Unfurnished,bachelors,1.0,Contact Owner,9500,3.0,1,small,0.14612676056338028,-1.0247611377355152
4194,2022-07-06,2,1200.0,Ground out of 4,super area,"manikonda, outer ring road",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Agent,16000,0.0,1,large,0.2605633802816901,0.8431257772546311
4196,2022-06-10,3,1300.0,2 out of 3,carpet area,rock town colony,hyderabad,Unfurnished,bachelors,3.0,Contact Owner,14000,2.0,0,large,0.22535211267605634,1.0766116416283995
4197,2022-07-01,1,400.0,2 out of 2,super area,"dnm colony, sanath nagar",hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,7500,2.0,1,small,0.1109154929577465,-1.0247611377355152
4198,2022-06-06,1,650.0,1 out of 6,super area,suraram,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,13900,1.0,1,medium,0.22359154929577466,-0.44104647680109454
4199,2022-06-22,1,500.0,2 out of 3,super area,vidyanagar,hyderabad,Unfurnished,bachelors,1.0,Contact Owner,5500,2.0,1,small,0.07570422535211269,-0.791275273361747
4200,2022-04-30,2,875.0,4 out of 5,super area,attapur,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,4.0,1,medium,0.13732394366197184,0.08429671803988416
4201,2022-06-24,1,850.0,3 out of 3,super area," in boduppal, nh 2 2",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,4700,3.0,1,medium,0.061619718309859156,0.025925251946442084
4202,2022-05-29,3,1730.0,,super area,nalagandla,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,30000,-1.0,0,large,0.5070422535211269,2.080600858435603
4203,2022-05-31,1,1500.0,2 out of 6,carpet area,kompally,hyderabad,Semi-Furnished,bachelors,3.0,Contact Owner,16500,2.0,1,large,0.2693661971830986,1.543583370375936
4205,2022-06-18,2,900.0,1 out of 2,super area,"peerzadiguda, nh 2 2",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,9500,1.0,1,medium,0.14612676056338028,0.14266818413332624
4206,2022-06-19,2,925.0,2 out of 2,super area,"chandanagar, nh 9",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.2010396502267683
4207,2022-07-06,2,1500.0,2 out of 4,super area,"lb nagar, nh 9",chennai,Unfurnished,bachelors/family,2.0,Contact Owner,15000,2.0,1,large,0.24295774647887328,1.543583370375936
4208,2022-05-12,2,1600.0,1 out of 3,carpet area,tarnaka,hyderabad,Semi-Furnished,family,3.0,Contact Owner,22500,1.0,1,large,0.375,1.7770692347497044
4209,2022-06-29,3,1300.0,2 out of 3,carpet area,"banjara hills, nh 9",hyderabad,Semi-Furnished,bachelors,1.0,Contact Agent,32000,2.0,0,large,0.5422535211267606,1.0766116416283995
4210,2022-05-29,2,1200.0,Ground out of 3,super area,sainikpuri,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,10000,0.0,1,large,0.15492957746478875,0.8431257772546311
4211,2022-07-04,2,133.0,1 out of 2,super area,old bowenpally,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,13000,1.0,1,small,0.20774647887323944,-1.6481683956134767
4212,2022-07-06,2,950.0,Ground out of 1,super area,unknown place,hyderabad,Unfurnished,family,2.0,Contact Owner,7000,0.0,1,medium,0.10211267605633803,0.2594111163202104
4213,2022-05-29,3,1200.0,,super area,santosh nagar,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,-1.0,0,large,0.19014084507042256,0.8431257772546311
4214,2022-05-12,2,950.0,,super area,unknown place,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,7500,-1.0,1,medium,0.1109154929577465,0.2594111163202104
4215,2022-07-06,2,1095.0,4 out of 5,super area,"gundlapochampally, outer ring road",hyderabad,Furnished,bachelors/family,2.0,Contact Owner,15000,4.0,1,medium,0.24295774647887328,0.5979656196621744
4216,2022-07-06,1,400.0,3 out of 4,super area,chanda nagar,hyderabad,Furnished,bachelors/family,1.0,Contact Owner,8000,3.0,1,small,0.11971830985915494,-1.0247611377355152
4220,2022-07-06,1,80.0,Ground out of 2,carpet area,rhoda mistri nagar,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,3000,0.0,1,small,0.03169014084507043,-1.771915903731574
4221,2022-05-25,2,1315.0,,super area,aminpur,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12500,-1.0,1,large,0.198943661971831,1.1116345212844647
4222,2022-07-06,3,1600.0,2 out of 5,carpet area,jubilee hills,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Agent,42000,2.0,0,large,0.7183098591549296,1.7770692347497044
4223,2022-04-29,2,1450.0,2 out of 6,super area,unknown place,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,2.0,1,large,0.33098591549295775,1.4268404381890518
4224,2022-07-06,3,1900.0,2 out of 5,carpet area,unknown place,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Agent,40000,2.0,0,large,0.6830985915492959,2.477526827871009
4227,2022-06-01,2,1000.0,4 out of 5,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,4.0,1,medium,0.24295774647887328,0.37615404850709455
4228,2022-05-20,2,100.0,2 out of 3,super area,chanchalguda,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,9000,2.0,1,small,0.13732394366197184,-1.7252187308568203
4229,2022-05-12,2,1100.0,Ground out of 3,super area,"old malakpet, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,14000,0.0,1,medium,0.22535211267605634,0.6096399128808628
4230,2022-05-25,2,1200.0,2 out of 2,super area,"troop bazaar, koti",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,11000,2.0,1,large,0.17253521126760565,0.8431257772546311
4231,2022-05-16,2,1400.0,2 out of 4,super area,"ramachandra puram, nh 9",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,large,0.15492957746478875,1.3100975060021678
4232,2022-06-02,3,2000.0,Ground out of 12,carpet area,gachibowli,hyderabad,Semi-Furnished,family,3.0,Contact Agent,55000,0.0,0,large,0.9471830985915494,2.7110126922447773
4233,2022-07-02,2,1070.0,2 out of 5,carpet area,hmt swarnapuri colony,hyderabad,Unfurnished,family,2.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,0.5395941535687323
4234,2022-05-16,3,1450.0,3 out of 3,carpet area,camelot layout,hyderabad,Semi-Furnished,family,2.0,Contact Owner,25000,3.0,0,large,0.41901408450704225,1.4268404381890518
4235,2022-05-16,2,1230.0,1 out of 6,super area,puppalaguda,hyderabad,Furnished,bachelors/family,2.0,Contact Owner,27000,1.0,1,large,0.4542253521126761,0.9131715365667616
4236,2022-06-22,2,1000.0,Ground out of 2,super area,lig colony,hyderabad,Semi-Furnished,bachelors,3.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,0.37615404850709455
4237,2022-05-05,2,1200.0,,carpet area,chintalakunta,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,16000,-1.0,1,large,0.2605633802816901,0.8431257772546311
4239,2022-06-22,2,850.0,4 out of 6,super area,unknown place,hyderabad,Semi-Furnished,family,2.0,Contact Owner,14000,4.0,1,medium,0.22535211267605634,0.025925251946442084
4240,2022-06-10,2,1300.0,Ground out of 1,super area,nagaram,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,10000,0.0,1,large,0.15492957746478875,1.0766116416283995
4242,2022-06-22,2,1250.0,1 out of 5,super area,"pragathi nagar, kukatpally",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,large,0.2605633802816901,0.9598687094415153
4243,2022-05-25,3,100.0,2 out of 3,super area,borabanda,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,6000,2.0,0,small,0.08450704225352114,-1.7252187308568203
4244,2022-06-24,3,1550.0,4 out of 5,carpet area,"lb nagar, nh 9",delhi,Unfurnished,bachelors,2.0,Contact Owner,26000,4.0,0,large,0.43661971830985913,1.6603263025628203
4246,2022-06-13,3,1600.0,,carpet area,bandlaguda jagir,hyderabad,Semi-Furnished,bachelors,2.0,Contact Owner,28000,-1.0,0,large,0.471830985915493,1.7770692347497044
4247,2022-06-22,2,1200.0,Ground out of 2,super area,medipally,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,8500,0.0,1,large,0.12852112676056338,0.8431257772546311
4249,2022-06-22,3,1970.0,5 out of 9,carpet area,kompally,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,25000,5.0,0,large,0.41901408450704225,2.640966932932647
4250,2022-06-28,2,650.0,4 out of 4,carpet area,namalagundu,hyderabad,Unfurnished,bachelors,2.0,Contact Owner,10000,4.0,1,medium,0.15492957746478875,-0.44104647680109454
4251,2022-06-19,2,1000.0,4 out of 5,super area,secunderabad,hyderabad,Semi-Furnished,bachelors/family,3.0,Contact Owner,12000,4.0,1,medium,0.19014084507042256,0.37615404850709455
4252,2022-06-28,3,1500.0,1 out of 1,super area,old bowenpally,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,15000,1.0,0,large,0.24295774647887328,1.543583370375936
4254,2022-07-06,3,1940.0,1 out of 5,carpet area,unknown place,hyderabad,Furnished,bachelors,3.0,Contact Owner,30000,1.0,0,large,0.5070422535211269,2.5709211736205164
4255,2022-06-27,2,700.0,,carpet area,rajendra mandal,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,18000,-1.0,1,medium,0.295774647887324,-0.32430354461421035
4256,2022-06-02,2,700.0,2 out of 3,super area,budwel,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,8500,2.0,1,medium,0.12852112676056338,-0.32430354461421035
4257,2022-05-25,2,100.0,1 out of 3,super area,amberpet,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,7500,1.0,1,small,0.1109154929577465,-1.7252187308568203
4259,2022-06-18,2,980.0,3 out of 5,super area,langar houz,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,15000,3.0,1,medium,0.24295774647887328,0.3294568756323409
4260,2022-05-27,2,800.0,,super area,prakash nagar,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,15500,-1.0,1,medium,0.25176056338028174,-0.09081768024044207
